_id,idx,tahun,turtahun,nilai,turvar
1,0,2005,,100,Laki-Laki
2,1,2006,,123,Laki-Laki
3,2,2007,,180,Laki-Laki
4,3,2008,,180,Laki-Laki
5,4,2009,,177,Laki-Laki
6,5,2010,,248,Laki-Laki
7,6,2011,,310,Laki-Laki
8,7,2012,,334,Laki-Laki
9,8,2013,,412,Laki-Laki
10,9,2014,,324,Laki-Laki
11,10,2015,,328,Laki-Laki
12,11,2016,,372,Laki-Laki
13,12,2005,,54,Perempuan
14,13,2006,,55,Perempuan
15,14,2007,,101,Perempuan
16,15,2008,,101,Perempuan
17,16,2009,,73,Perempuan
18,17,2010,,96,Perempuan
19,18,2011,,144,Perempuan
20,19,2012,,166,Perempuan
21,20,2013,,207,Perempuan
22,21,2014,,335,Perempuan
23,22,2015,,142,Perempuan
24,23,2016,,124,Perempuan
37,36,2005,,106,Laki-Laki
38,37,2006,,120,Laki-Laki
39,38,2007,,151,Laki-Laki
40,39,2008,,151,Laki-Laki
41,40,2009,,157,Laki-Laki
42,41,2010,,206,Laki-Laki
43,42,2011,,260,Laki-Laki
44,43,2012,,329,Laki-Laki
45,44,2013,,425,Laki-Laki
46,45,2014,,312,Laki-Laki
47,46,2015,,432,Laki-Laki
48,47,2016,,393,Laki-Laki
49,48,2005,,41,Perempuan
50,49,2006,,59,Perempuan
51,50,2007,,74,Perempuan
52,51,2008,,74,Perempuan
53,52,2009,,83,Perempuan
54,53,2010,,127,Perempuan
55,54,2011,,124,Perempuan
56,55,2012,,146,Perempuan
57,56,2013,,263,Perempuan
58,57,2014,,342,Perempuan
59,58,2015,,178,Perempuan
60,59,2016,,143,Perempuan
73,72,2005,,121,Laki-Laki
74,73,2006,,107,Laki-Laki
75,74,2007,,156,Laki-Laki
76,75,2008,,156,Laki-Laki
77,76,2009,,165,Laki-Laki
78,77,2010,,220,Laki-Laki
79,78,2011,,292,Laki-Laki
80,79,2012,,298,Laki-Laki
81,80,2013,,502,Laki-Laki
82,81,2014,,311,Laki-Laki
83,82,2015,,445,Laki-Laki
84,83,2016,,342,Laki-Laki
85,84,2005,,45,Perempuan
86,85,2006,,59,Perempuan
87,86,2007,,80,Perempuan
88,87,2008,,80,Perempuan
89,88,2009,,86,Perempuan
90,89,2010,,113,Perempuan
91,90,2011,,158,Perempuan
92,91,2012,,120,Perempuan
93,92,2013,,176,Perempuan
94,93,2014,,332,Perempuan
95,94,2015,,157,Perempuan
96,95,2016,,156,Perempuan
109,108,2005,,94,Laki-Laki
110,109,2006,,124,Laki-Laki
111,110,2007,,169,Laki-Laki
112,111,2008,,169,Laki-Laki
113,112,2009,,170,Laki-Laki
114,113,2010,,229,Laki-Laki
115,114,2011,,313,Laki-Laki
116,115,2012,,358,Laki-Laki
117,116,2013,,712,Laki-Laki
118,117,2014,,310,Laki-Laki
119,118,2015,,456,Laki-Laki
120,119,2016,,329,Laki-Laki
121,120,2005,,59,Perempuan
122,121,2006,,62,Perempuan
123,122,2007,,88,Perempuan
124,123,2008,,88,Perempuan
125,124,2009,,79,Perempuan
126,125,2010,,142,Perempuan
127,126,2011,,139,Perempuan
128,127,2012,,152,Perempuan
129,128,2013,,70,Perempuan
130,129,2014,,321,Perempuan
131,130,2015,,164,Perempuan
132,131,2016,,164,Perempuan
145,144,2005,,89,Laki-Laki
146,145,2006,,112,Laki-Laki
147,146,2007,,174,Laki-Laki
148,147,2008,,174,Laki-Laki
149,148,2009,,159,Laki-Laki
150,149,2010,,247,Laki-Laki
151,150,2011,,328,Laki-Laki
152,151,2012,,355,Laki-Laki
153,152,2013,,434,Laki-Laki
154,153,2014,,357,Laki-Laki
155,154,2015,,374,Laki-Laki
156,155,2016,,356,Laki-Laki
157,156,2005,,55,Perempuan
158,157,2006,,60,Perempuan
159,158,2007,,85,Perempuan
160,159,2008,,85,Perempuan
161,160,2009,,91,Perempuan
162,161,2010,,96,Perempuan
163,162,2011,,137,Perempuan
164,163,2012,,160,Perempuan
165,164,2013,,172,Perempuan
166,165,2014,,365,Perempuan
167,166,2015,,122,Perempuan
168,167,2016,,128,Perempuan
181,180,2005,,100,Laki-Laki
182,181,2006,,153,Laki-Laki
183,182,2007,,152,Laki-Laki
184,183,2008,,152,Laki-Laki
185,184,2009,,144,Laki-Laki
186,185,2010,,215,Laki-Laki
187,186,2011,,304,Laki-Laki
188,187,2012,,321,Laki-Laki
189,188,2013,,462,Laki-Laki
190,189,2014,,389,Laki-Laki
191,190,2015,,429,Laki-Laki
192,191,2016,,327,Laki-Laki
193,192,2005,,54,Perempuan
194,193,2006,,61,Perempuan
195,194,2007,,82,Perempuan
196,195,2008,,82,Perempuan
197,196,2009,,95,Perempuan
198,197,2010,,99,Perempuan
199,198,2011,,130,Perempuan
200,199,2012,,152,Perempuan
201,200,2013,,102,Perempuan
202,201,2014,,354,Perempuan
203,202,2015,,135,Perempuan
204,203,2016,,141,Perempuan
217,216,2005,,109,Laki-Laki
218,217,2006,,122,Laki-Laki
219,218,2007,,151,Laki-Laki
220,219,2008,,151,Laki-Laki
221,220,2009,,158,Laki-Laki
222,221,2010,,292,Laki-Laki
223,222,2011,,288,Laki-Laki
224,223,2012,,334,Laki-Laki
225,224,2013,,529,Laki-Laki
226,225,2014,,286,Laki-Laki
227,226,2015,,450,Laki-Laki
228,227,2016,,317,Laki-Laki
229,228,2005,,49,Perempuan
230,229,2006,,62,Perempuan
231,230,2007,,80,Perempuan
232,231,2008,,80,Perempuan
233,232,2009,,86,Perempuan
234,233,2010,,67,Perempuan
235,234,2011,,107,Perempuan
236,235,2012,,159,Perempuan
237,236,2013,,84,Perempuan
238,237,2014,,253,Perempuan
239,238,2015,,94,Perempuan
240,239,2016,,107,Perempuan
253,252,2005,,116,Laki-Laki
254,253,2006,,141,Laki-Laki
255,254,2007,,152,Laki-Laki
256,255,2008,,152,Laki-Laki
257,256,2009,,141,Laki-Laki
258,257,2010,,208,Laki-Laki
259,258,2011,,222,Laki-Laki
260,259,2012,,350,Laki-Laki
261,260,2013,,325,Laki-Laki
262,261,2014,,289,Laki-Laki
263,262,2015,,506,Laki-Laki
264,263,2016,,299,Laki-Laki
265,264,2005,,46,Perempuan
266,265,2006,,66,Perempuan
267,266,2007,,77,Perempuan
268,267,2008,,77,Perempuan
269,268,2009,,89,Perempuan
270,269,2010,,106,Perempuan
271,270,2011,,134,Perempuan
272,271,2012,,185,Perempuan
273,272,2013,,203,Perempuan
274,273,2014,,229,Perempuan
275,274,2015,,135,Perempuan
276,275,2016,,171,Perempuan
289,288,2005,,93,Laki-Laki
290,289,2006,,107,Laki-Laki
291,290,2007,,153,Laki-Laki
292,291,2008,,153,Laki-Laki
293,292,2009,,143,Laki-Laki
294,293,2010,,217,Laki-Laki
295,294,2011,,223,Laki-Laki
296,295,2012,,373,Laki-Laki
297,296,2013,,437,Laki-Laki
298,297,2014,,276,Laki-Laki
299,298,2015,,424,Laki-Laki
300,299,2016,,377,Laki-Laki
301,300,2005,,43,Perempuan
302,301,2006,,53,Perempuan
303,302,2007,,83,Perempuan
304,303,2008,,83,Perempuan
305,304,2009,,78,Perempuan
306,305,2010,,46,Perempuan
307,306,2011,,99,Perempuan
308,307,2012,,198,Perempuan
309,308,2013,,134,Perempuan
310,309,2014,,252,Perempuan
311,310,2015,,137,Perempuan
312,311,2016,,135,Perempuan
325,324,2005,,95,Laki-Laki
326,325,2006,,110,Laki-Laki
327,326,2007,,149,Laki-Laki
328,327,2008,,149,Laki-Laki
329,328,2009,,154,Laki-Laki
330,329,2010,,247,Laki-Laki
331,330,2011,,285,Laki-Laki
332,331,2012,,370,Laki-Laki
333,332,2013,,537,Laki-Laki
334,333,2014,,308,Laki-Laki
335,334,2015,,487,Laki-Laki
336,335,2016,,319,Laki-Laki
337,336,2005,,45,Perempuan
338,337,2006,,57,Perempuan
339,338,2007,,86,Perempuan
340,339,2008,,86,Perempuan
341,340,2009,,101,Perempuan
342,341,2010,,122,Perempuan
343,342,2011,,130,Perempuan
344,343,2012,,171,Perempuan
345,344,2013,,149,Perempuan
346,345,2014,,340,Perempuan
347,346,2015,,150,Perempuan
348,347,2016,,194,Perempuan
361,360,2005,,91,Laki-Laki
362,361,2006,,129,Laki-Laki
363,362,2007,,149,Laki-Laki
364,363,2008,,149,Laki-Laki
365,364,2009,,157,Laki-Laki
366,365,2010,,246,Laki-Laki
367,366,2011,,283,Laki-Laki
368,367,2012,,360,Laki-Laki
369,368,2013,,768,Laki-Laki
370,369,2014,,398,Laki-Laki
371,370,2015,,496,Laki-Laki
372,371,2016,,376,Laki-Laki
373,372,2005,,51,Perempuan
374,373,2006,,56,Perempuan
375,374,2007,,86,Perempuan
376,375,2008,,86,Perempuan
377,376,2009,,92,Perempuan
378,377,2010,,104,Perempuan
379,378,2011,,140,Perempuan
380,379,2012,,184,Perempuan
381,380,2013,,20,Perempuan
382,381,2014,,330,Perempuan
383,382,2015,,155,Perempuan
384,383,2016,,170,Perempuan
397,396,2005,,127,Laki-Laki
398,397,2006,,145,Laki-Laki
399,398,2007,,151,Laki-Laki
400,399,2008,,151,Laki-Laki
401,400,2009,,171,Laki-Laki
402,401,2010,,242,Laki-Laki
403,402,2011,,271,Laki-Laki
404,403,2012,,365,Laki-Laki
405,404,2013,,465,Laki-Laki
406,405,2014,,321,Laki-Laki
407,406,2015,,484,Laki-Laki
408,407,2016,,296,Laki-Laki
409,408,2005,,54,Perempuan
410,409,2006,,58,Perempuan
411,410,2007,,78,Perempuan
412,411,2008,,78,Perempuan
413,412,2009,,91,Perempuan
414,413,2010,,102,Perempuan
415,414,2011,,133,Perempuan
416,415,2012,,175,Perempuan
417,416,2013,,192,Perempuan
418,417,2014,,322,Perempuan
419,418,2015,,150,Perempuan
420,419,2016,,147,Perempuan
433,432,2005,,1241,Laki-Laki
434,433,2006,,1493,Laki-Laki
435,434,2007,,1887,Laki-Laki
436,435,2008,,1887,Laki-Laki
437,436,2009,,1896,Laki-Laki
438,437,2010,,2817,Laki-Laki
439,438,2011,,3379,Laki-Laki
440,439,2012,,4147,Laki-Laki
441,440,2013,,6008,Laki-Laki
442,441,2014,,3881,Laki-Laki
443,442,2015,,5311,Laki-Laki
444,443,2016,,4103,Laki-Laki
445,444,2005,,596,Perempuan
446,445,2006,,708,Perempuan
447,446,2007,,1000,Perempuan
448,447,2008,,1000,Perempuan
449,448,2009,,1044,Perempuan
450,449,2010,,1220,Perempuan
451,450,2011,,1575,Perempuan
452,451,2012,,1968,Perempuan
453,452,2013,,1772,Perempuan
454,453,2014,,3775,Perempuan
455,454,2015,,1719,Perempuan
456,455,2016,,1780,Perempuan
